quote_person_key	quote_person_onscreen
homer_iliad	Hector, to Polydamus, from Homer's Iliad
horace	Horace, Roman poet (65 - 8BC)
imperial	Imperial ruling on discourse between senators and ordinary citizens
inscription	Inscription on Roman tombstones
julia	Julia the Elder, daughter of Augustus (39BC - AD14)
juvenal	Juvenal, Roman poet (c. 1st century AD)
leonidas	Leonidas of Sparta (d. 480BC), at Thermopylae, when Xerxes demanded the Spartans surrender
livy	Livy, Roman historian (59BC - AD17)
livy_hannibal	Livy, Roman historian (59BC - AD17), about Hannibal
livy_punic	Livy, Roman historian (59BC - AD17), on the 2nd Punic War
lucan	Lucan, Roman poet (AD39 - 65)
lucretius	Lucretius, Roman poet and philosopher (99 - 55BC)
lycurgus	Lycurgus of Sparta (820 - 730BC), lawgiver to whom the militarization of Sparta is attributed
maharbal_cannae	Maharbal, Carthaginian cavalry commander (c. 2nd century BC), following Hannibal's victory at Cannae
maharbal_rome	Maharbal, Carthaginian cavalry commander (c. 2nd century BC), urging Hannibal to march on Rome
marc_antony	Marc Antony, Roman general and statesman (83 - 30BC)
marcus_aurelius	Marcus Aurelius, Roman Emperor (AD121 - 180)
martial	Martial, Latin poet (AD40 - 104)
maxim_military	Military maxim
menander	Menander, Greek dramatist (342 - 290BC)
mencius	Mencius, Chinese philosopher (372 - 289BC)
nero	Nero, Roman Emperor (AD15 - 68)
nero_last	Nero, Roman Emperor (AD15 - 68), as he stabbed himself
nero_mushrooms	Nero, Roman Emperor (AD15 - 68), on the mushrooms that poisoned Claudius
onosander	Onosander, Greek philosopher (c. 1st century AD)
ovid	Ovid, Roman poet (43BC - AD18)
pericles	Pericles, Athenian statesman (490 - 429BC)
persius	Persius, Roman poet (AD34 - 62)
phaedrus	Phaedrus, Roman fabulist (15BC - AD50)
phormio	Phormio, Athenian admiral (c. 428BC)
pindar	Pindar, Greek poet (522 - 443BC)
plato	Plato, Greek philosopher (427BC - 347BC)
plautus	Plautus, Roman playwright (254 - 184BC)
pliny_elder	Pliny the Elder, Roman philosopher (AD23 - 79)
pliny_younger	Pliny the Younger, Roman philosopher (AD61 - 112)
plutarch	Plutarch, Greek biographer (AD46 - 120)
polybius	Polybius, Greek historian (200 - 118BC)
proverb_french	French proverb
proverb_greek	Greek proverb
proverb_latin	Latin proverb
publius_syrus	Publius Syrus, Roman philosopher (c. 1st century BC)
pyrrhus	Pyrrhus of Epirus (319 - 272BC), following his victory at Asculum
scipio	Scipio Africanus, Roman general (235 - 183BC)
seneca	Seneca the Younger, Roman philosopher and statesman (4BC - AD65)
sextus	Sextus Julius Frontinus, Roman statesman (AD40 - 103)
shakespeare_caesar	William Shakespeare, English playwright (AD1564 - 1616), from Julius Caesar
shakespeare_coriolanus	William Shakespeare, English playwright (AD1564 - 1616), from Coriolanus
shakespeare_titus	William Shakespeare, English playwright (AD1564 - 1616), from Titus Andronicus
simonides	Simonides of Ceos, Greek poet (556 - 468BC)
socrates	Socrates, Greek philosopher (469 - 399BC)
solon	Solon, Athenian statesman (638 - 558BC)
sophocles	Sophocles, Greek playwright (497 - 405BC)
spartan_woman	A Spartan woman equips her son
strabo	Strabo, Greek geographer (64BC- AD24)
tacitus	Tacitus, Roman historian (AD56 - 117)
tacitus_histories	Tacitus, Roman historian (AD56 - 117), from The Histories
terence	Terence, Roman playwright (195 - 159BC)
thales	Thales, Greek philosopher (624 - 546BC)
thucydides	Thucydides, Greek historian (460 - 395BC)
tiberius	Tiberius, Roman Emperor (42BC - 37AD)
tibullus	Tibullus, Latin poet (55 - 19BC)
vegetius	Vegetius, Roman writer (c. AD383)
vespasian	Vespasian, Roman Emperor (AD9 - 79)
vespasian_last	Vespasian, Roman Emperor (AD9 - 79), on his deathbed
virgil	Virgil, Roman poet (70 - 19BC)
vitellius	Vitellius, Roman Emperor (AD15 - 69)
xenophon	Xenophon, Greek general and historian (430 - 354BC)
