key	generate	localised_description	localised_title	ui_icon	ui_image	prioritized
3c_Faction_Leader_Zenobia_2	true	Wahballat's birthday is in a few weeks. It takes but a few talks and a dash of mother's instinct to know what he wants as a gift. A pet. Needless to say, possibilities are endless and the Queen of Palmyra can surely find any animal for her son, the King of Palmyra. The only thing left is the choice itself...	Life Lessons - Part II	rom_event_document.png	3c_rom_zenobia.png	true
3c_Faction_Leader_Zenobia_3	true	At noon that day, Wahballat, runs up to me, tears streaming down his cheeks. Both angered and dismayed by his weeping, I kneel before him and hug him tightly. Through sobs he explains he saw a falcon swoop down and catch a little sparrow. "Poor sparrow," he pants. I breathe a sigh of relief, then I...	Life Lessons - Part III	rom_event_document.png	3c_rom_zenobia.png	true
3c_Faction_Leader_Zenobia_4	true	The merchant kneels in the middle of the hall. His mumblings of mercy are drowned the angry murmur of the courtiers around him. Wahballat sits on the royal throne, pale and rigid. He knows he is to judge the man before him. He also knows what a conspirator against his mother deserves, yet seems hesitant to state the verdict. The merchant finishes his plea, there is an uproar from the crowd. I have a brief moment to whisper in my son's ear...	Life Lessons - Part IV	rom_event_document.png	3c_rom_zenobia.png	true
3c_alani_mystic_dreams	true	During an evening gathering at your yurt one of your generals proclaims that he has been having the same dream for many nights - a mystic dream of a white horse, running to the west. What do you make of this?	Mystical Dreams	rom_event_document.png	nomad_faction.png	true
3c_alani_smoke_visions	true	It’s time to seek reprise from the burdens of rule in the smoke tent. The spirits of the ancestors provide wisdom through the haze.	Visions in the Smoke	rom_event_document.png	3c_barb_mystical_visions.png	false
3c_barb_ships_at_the_port	true	Trading ships from a distant land have arrived at the port. The foreigners look like they could use a bath but offer to trade exotic animals. 	Ships at the Port	rom_event_document.png	3c_ships_at_the_port.png	true
3c_caledoni_druidic_order	true	The Council of Druids has gathered. You can seek their counsel about recent issues.	The Druidic Order	rom_event_document.png	barb_celebration.png	false
3c_east_ardashir_testament	true	An elderly scholar approaches you in your throne room. He presents to you the book 'Ardashir’s Testament', containing advice on governance from the illustrious ruler, first of the Sassanian line. Politely, yet firmly, the scholar accuses you of failing to follow your ancestor's advice with sufficient care. 	Ardashir's Testament	rom_event_document.png	east_politics.png	true
3c_east_magi_council	true	The Council of Magi has gathered. You can seek their counsel about how to increase…	The Council of Magi	rom_event_document.png	3c_east_magi_council.png	false
3c_east_royal_crown	true	Every new ruler is adorned with a personal royal crown, a symbol of his majesty. As the new Shahanshah, what do you wish your crown symbol to be?	The Royal Crown	rom_event_document.png	east_politics.png	true
3c_east_sassanian_sculptor	true	A sculptor from a mountainous village proudly presents to you the result of his craft - a grand relief, carved in the living rock. He created it of his own volition to show his respect for you. The relief represents you, in full regalia, receiving gifts from Roman Emperors. Upon closer inspection, however, it turns out that, in the relief, you are a bit shorter in stature than the Romans. The artist awaits your reaction eagerly. What do you do? 	The Sassanian Sculptor	rom_event_document.png	east_politics.png	true
3c_east_ships_at_the_port	true	Trading ships from a distant land have arrived at the port. The foreigners look like they could use a bath but offer to trade exotic animals. 	Ships at the Port	rom_event_document.png	3c_ships_at_the_port.png	true
3c_gothi_casting_the_lots	true	One way to pull through these hard times is to seek out the gods' disposition towards a particular course of action. This is done, traditionally, through the casting of lots. The state priest who would do the necessary ceremonies is asking which matter concerns you the most:	Casting the Lots	rom_event_document.png	3c_barb_mystical_visions.png	true
3c_rat_infestation	false	To deal with a rat infestation there are several options…	Rat Infestation	rom_event_document.png	3c_rat_infestation.png	true
3c_rom_Sibylline_Books	true	These are tough times and the people are gripped by fear. The Senate urges you to look for answers in the mystical Sibylline Books. What is it that you seek to achieve, above all else, in the following years?	The Sibylline Books	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_A1	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek power, you need to hold a lectisternum ceremony for Saturn!	Prophecy of Power	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_A2	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek power, do not move your armies to war next season!	Prophecy of Power	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_A3	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek power, when the king of the Franci comes to you asking for assistance, refuse him not your friendship, yet do not grant him any army, or else you will have toil and danger.	Prophecy of Power	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_B1	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek stability, you need to bring the image of Cybele to your capital!	Prophecy of Stability	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_B2	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek stability, you should to appease Flora by organising the Ludi Florales festival!	Prophecy of Stability	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_B3	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek stability, a statue of Hygieia must be erected in your capital!	Prophecy of Stability	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_C1	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek prosperity, you need to create a lectisternum ceremony for Dis Pater!	Prophecy of Prosperity	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_C2	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek prosperity, you need to create a larger statue of Juno Moneta!	Prophecy of Prosperity	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_C3	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek prosperity, you should hold a feriae imperativae in honour of Mercury!	Prophecy of Prosperity	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_D1	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek victory, each household in your nation should butcher their finest animal and gift it to the soldiers!	Prophecy of Victory	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_D2	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek victory, you need to sacrifice two easterners and two barbarians!	Prophecy of Victory	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_Sibylline_Books_D3	false	At the new day's dawn the keepers emerged from their sanctum. Their interpretation of the Sibylline Books is that, if you seek victory, you need to create a larger statue of Victoria!	Prophecy of Victory	rom_event_document.png	3c_rom_sibylline_books.png	true
3c_rom_ships_at_the_port	true	Trading ships from a distant land have arrived at the port. The foreigners look like they could use a bath but offer to trade exotic animals. 	Ships at the Port	rom_event_document.png	3c_ships_at_the_port.png	true
3c_rome_stolen_eagle	false	The Legionaries who were supposed to take care of the sacred object have been brought before you and await your decision with solemn expressions of despair. What should be done about the missing standard?	The Stolen Eagle	rom_event_document.png	rom_army_up.png	true
bar_abundant_fish	true	This year, the gods have graced the seas with plenty. Let us fish while the waters teem! 	Abundant Fish 	rom_event_document.png	barb_civ_up.png	false
bar_blockade_bites	true	The settlement is ringed by the enemy – food and grain have been prevented from entering. This is a local dispute but the people will surely starve if we don't help.    	The Blockade Bites 	rom_event_document.png	barb_blockaded.png	false
bar_border_dispute	true	Our traders have fallen out with our neighbours. Swords have yet to be drawn, but if no deal is struck, this could blow up into a war we don't need. How should we settle this? 	Border Dispute 	rom_event_document.png	barb_diplomacy.png	false
bar_corrupt_governor	true	The local chief is crooked – he steals the spoils from local raids and takes more than his fair share from farming yields. The people are not happy, but should we act? 	Corrupt Governor   	rom_event_document.png	barb_politics.png	false
bar_looting	true	Our warriors rampage across the lands, pillaging and raping as they go! Is this not the right of every soldier, or should we rein them in? 	Looting	rom_event_document.png	agent_raid.png	false
bar_migrating_people	true	A great migration of tribes comes to our borders, demanding shelter from larger threats abroad. Do we let them cross the border or turn them away? 	Migrating Peoples 	rom_event_document.png	barb_settlement_lost.png	false
bar_noble_greed	true	While the warriors range far for plunder, our nobles barter with each other, claiming great swathes of land for their own gain. When the armies return there will be nowhere for them to settle.	Noble Greed 	rom_event_document.png	barb_politics.png	false
bar_on_the_edge	true	As our territory expands, some local chieftains may decide that they are the only true rulers. These power-hungry fools must be dealt with lest the confederation breaks into a hundred pitiful domains.	On the Edge 	rom_event_document.png	barb_diplomacy.png	false
bar_riots	true	The tithe is due, and yet the people refuse to pay it. Instead preferring to challenge the rule of the land by rioting. What should be done? 	Riots 	rom_event_document.png	barb_revolt.png	false
bar_signs_against_us	true	Your warriors range deep into foreign lands, but all is not well. A red moon rises. It is a bad sign, and one that has spooked your army!	The Signs are Against Us 	rom_event_document.png	attrition_desert.png	false
bar_slavedriver	true	A noble within your ranks is known for working his slaves to death. They die in his fields but he looks on, unconcerned. The other slave workers have noticed and are getting very agitated. 	Slavedriver  	rom_event_document.png	agent_rally_slaves.png	false
bar_useless_bureauracy	true	The council in this region blathers, talks and argues all day but little is done for the comfort of the people. Should we intervene?   	Useless Bureaucracy  	rom_event_document.png	barb_politics.png	false
barb_hostile_dispute	true	Your spoilt son has fought with a prominent member of a rival tribe. Tensions have increased as a result. The elders look to you to settle the matter. 	Hostile Dispute	rom_event_document.png	rom_generic.png	false
barb_hostile_governor	true	The local chieftain detests you. He curses your ambitions, your military might and mocks your manhood. He makes it known to all that he should stand in your place. 	Hostile Governor	rom_event_document.png	rom_generic.png	false
barb_my_sword	true	Swords are possessions of pride, but such precious things can also cause discontent… Your brother's boy claims another has stolen his sword. The accused denies it.	My Sword!	rom_event_document.png	rom_generic.png	false
barb_secret_meetings	true	Your loyal servants have brought to your attention that your rivals have been meeting in the shadows. The only common cause that could bring them together is their hatred of you.	Secret Meetings	rom_event_document.png	rom_generic.png	false
barb_trading_enemy	true	Occasionally, a man's thirst for wine blinds him to reason. One such prominent tribesman has been caught selling your slaves to the enemy in return for the drink he so craves.	Trading with Our Enemy	rom_event_document.png	rom_generic.png	false
barb_tribal_loyalty	true	The tribe grows fractious – two groups within it have been caught fighting to prove who is the most blood-thirsty! 	Tribal Loyalty	rom_event_document.png	rom_generic.png	false
barb_young_challenger	true	One of the younger warriors has been bragging to all that his methods are best, that he has slain more than you ever could and he will sire more children. He is a young lion challenging the leader of the pride… 	Young Challenger	rom_event_document.png	rom_generic.png	false
chain_carthage_gold_tolosa_2_find	false	The legends were true! The Volcae, fearing their plunder was cursed, threw it into the lakes of Tolosa as offerings to the gods. The lakes glitter with gold and precious gems, but what if the Volcae were right and the treasure is cursed…	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_carthage_gold_tolosa_3_barcidilemma_claim	false	The convoy carrying the Gold of Tolosa is heading towards Carthage. If the Barcids hope to claim the treasure they must act.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_carthage_gold_tolosa_3_hannonidilemma_claim	false	The convoy carrying the Gold of Tolosa is heading towards Carthage. If the Hannonids hope to claim the treasure they must act.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_carthage_gold_tolosa_3_magonidilemma_claim	false	The convoy carrying the Gold of Tolosa is heading towards Carthage. If the Magonids hope to claim the treasure they must act.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_celtic_gold_tolosa_2_find	false	The lakes near Tolosa brim with treasure! The Volcae must have thought the gold accursed, and offered it to the gods to end their misfortunes. Now, we must make a decision.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_eastern_gold_tolosa_2_find	false	The legends are true! The treasures glisten below the surface, but could these riches be cursed? Or was it a barbarian fear? 	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_egy_tomb_robbers_1	false	Egypt's ancient history is rich with treasures, monuments, temples and tombs. But desecration and theft of these ancient sites is becoming common place…	Tomb Robbers	rom_event_document.png	rom_generic.png	false
chain_egy_tomb_robbers_2_capture	false	Questioning those responsible for recent desecrations has revealed that the robberies were masterminded by high-ranking government officials!	Tomb Robbers	rom_event_document.png	rom_generic.png	false
chain_german_gold_tolosa_2_find	false	An impressive hoard, indeed. The Gauls call it accursed, but should great wealth be ignored because what lesser men say?	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_hellenic_gold_tolosa_2_find	false	They plunder was cast into nearby lakes. It seems that misfortune made the Volcae believe the gold was cursed. They offered it to their gods in hope of salvation!	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_roman_gold_tolosa_2_find	false	A hoard worthy of Jupiter! Untold treasures, supposedly cursed, stolen from hapless Greeks, and drenched in Volcae blood! All cast into the waters to appease barbarian gods…	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_roman_gold_tolosa_3_claudia_claim	false	The convoy of gold from Tolosa is making its way back towards Rome. If the Claudii hope to claim the treasure as their own, now would be the moment to act.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_roman_gold_tolosa_3_julia_claim	false	The convoy of gold from Tolosa is making its way back towards Rome. If the Julii hope to claim the treasure as their own, now would be the moment to act.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
chain_roman_gold_tolosa_3_junia_claim	false	The convoy of gold from Tolosa is making its way back towards Rome. If the Junii hope to claim the treasure as their own, now would be the moment to act.	The Gold of Tolosa	rom_event_document.png	rom_generic.png	false
dilemma_all_developmental_focus	true	As your power increases so does the need to develop your military capabilities and civic infrastructure. Which is of greater importance to your people?	Developmental Focus	rom_event_document.png	agent_hire.png	false
dilemma_all_economic_intent	true	As your dominions grow, the need to fill your coffers increases. Of the many lucrative endeavours open to you, which seems most profitable?	Economic Intent	rom_event_document.png	agent_hire.png	false
dilemma_all_keeping_peace	false	Maintaining public order has become a serious problem for the governors of one particular province. How will you restore order?	Keeping the Peace	rom_event_document.png	agent_hire.png	false
dilemma_all_lack_of_cavalry	true	Despite your undoubted military might, some have drawn attention to the fact that your cavalry lacks strength and numbers.	The Need For Cavalry	rom_event_document.png	agent_combat.png	false
dilemma_all_martial_priorities	true	As your enemies gain strength it is important to have a well-balanced military.  With that in mind, what kind of training would you like to focus on?	Martial Priorities	rom_event_document.png	agent_combat.png	false
dilemma_all_mercenaries	true	Maintaining your strength this far from home may prove difficult. You should consider hiring mercenaries to bolster your forces.	The Use of Mercenaries	rom_event_document.png	agent_combat.png	false
dilemma_all_the_stand	false	We are surrounded! The men need inspiration! But what should your general say to his men?	The Stand	rom_event_document.png	agent_path_blocked.png	false
dilemma_barbarian_independence_or_diplomacy	true	Our enemies grow bold and we must look to our defences. Should we rely on the strength of our warriors or strengthen our diplomatic ties?	A Question of Independence	rom_event_document.png	barb_politics.png	false
dilemma_barbarian_lost_legionaries	true	The tribal council has received word that a number of Roman deserters are roaming our lands> What should be done?	Lost Legionaries	rom_event_document.png	attrition_desertion.png	false
dilemma_carthage_successor_mercenaries	false	Does the greed of mercenaries know no bounds? These soldiers-for-hire are demanding more gold for their so-called skills! What will you do?	Mercenary Demands	rom_event_document.png	east_army_up.png	false
dilemma_civilised_acculturation	true	Cultural differences present a challenge to anyone who controls foreign lands. There are, however, ways to encourage foreigners to accept your mastery. 	Acculturation	rom_event_document.png	east_civ_up.png	false
dilemma_civilised_rampant_piracy	true	Pirates are a serious problem requiring your immediate attention. How would you like to deal with these sea-vermin?	Rampant Piracy	rom_event_document.png	east_sea_victory.png	false
dilemma_german_metal	true	The Germanic people do not care for the Gauls, but gold and silver are vital to trade, and war without iron is a fool's game. What is most important?	The Riddle of Metal	rom_event_document.png	barb_diplomacy.png	false
dilemma_german_prelude_to_war	false	We have captured an enemy scout! He was sent by his masters to uncover our weaknesses! What should be done to him?	Prelude to War	rom_event_document.png	barb_male_agent_wounded.png	false
dilemma_hellenic_philosophy_of_management	true	Thinkers have often sought to organise the management of the state and the self, such as in the works of Xenophon and Aristotle, but what do you think important?	Oeconomica	rom_event_document.png	greek_faction.png	false
dilemma_hellenic_xenophon_cavalry	true	Xenophon of Athens is held in high regard because of his views on cavalry and its uses. Which of his writings about war, when studied, enables the reader to field the most effective cavalry units?	Philosophy of Cavalry	rom_event_document.png	greek_army_up.png	false
dilemma_roman_blood_circuses	false	The Games! Entertainment for the masses and manly virtues to admire! However, the arena needs a great many gladiators, and senators worry about such a slave army in our midst. What should be done?	Blood & Circuses	rom_event_document.png	rom_celebration.png	false
dilemma_roman_comet	true	Rome is surrounded by enemies. The gods send us a sign! Every priest agrees that the fiery, long-haired star in the night sky was sent by...	Fire in the Sky	rom_event_document.png	rom_generic.png	false
dilemma_roman_gladiator	false	Gladiators have become valuable assets, no longer limited to dying in the arena. How should these assets be put to use?	Gladiator	rom_event_document.png	rom_faction.png	false
dilemma_roman_governor_corruption	true	It is not always easy for the Senate to watch over the provincial governors. Some, like this man, abuse the position. What should be done?	Corruption	rom_event_document.png	agent_hire.png	false
dilemma_roman_grand_tour	false	As Rome's borders expand, an increasing number of citizens are travelling to historical sites to gaze on their wonders. Which should be the most popular?	The Grand Tour	rom_event_document.png	rom_civ_up.png	false
dilemma_roman_munera_claudia	false	Those with great wealth and power should contribute to the glory of Rome. Having declared themselves to be the Rome's most influential family, the Cornelii decide to…	Munera	rom_event_document.png	rom_faction.png	false
dilemma_roman_munera_julia	false	Those with great wealth and power should contribute to the glory of Rome. Having declared themselves to be the Rome's most influential family, the Julii decide to…	Munera	rom_event_document.png	rom_faction.png	false
dilemma_roman_munera_junia	false	Those with great wealth and power should contribute to the glory of Rome. Having declared themselves to be the Rome's most influential family, the Junii decide to…	Munera	rom_event_document.png	rom_faction.png	false
dilemma_roman_plebs_slave_resentment	false	Many plebs are unable to find work thanks to the use of slaves for skilled and menial labour, In one province, the workers have become destitute. What should be done to help?	Taken Their Jobs	rom_event_document.png	rom_civ_down.png	false
dilemma_roman_provincial_migration	true	Provinces far from Rome often lack of Roman citizens and culture. In exchange for lower relief, the Senate will encourage Romans to migrate, especially…	Provincial Migration	rom_event_document.png	rom_trade.png	false
dilemma_sparta_laconophilia	true	Sparta's unwavering traditions have gained respect in the Hellenic world. Many who aspire to a Spartan way of life copy our ways. Should this continue?	Laconophilia	rom_event_document.png	greek_faction.png	false
dilemma_successor_foreign_ruler_blues	false	Ruling foreigners is always difficult. In order to maintain control over their wayward kingdoms, Alexander's successors must consider new strategies, such as…	Hellenisation Woes	rom_event_document.png	rom_civ_down.png	false
dk_architects	true	Great lord, architects from Saba have arrived, offering their services for a fee. They claim to have found a faster and cheaper way to dig canals, dams and other such irrigation systems. This could hasten our agricultural developments. Will you make use of their services?	Saba Architects	rom_event_document.png	dk_saba_canals.png	true
dk_business_venture	true	One of our political rivals comes to you with an offer that might prove quite lucrative; he is looking for an investor for a new trading endeavour. He proposes to buy a large quantity of incense and deliver it to a very wealthy buyer in a faraway land. The journey would be long and perilous but the earnings would be substantial. It sounds like an attractive offer, but the man has already been turned down by members of his own family. Should we invest in his venture?	Business Venture	rom_event_document.png	dk_incense_trade.png	true
dk_camel_disease	true	Our camel breeders complain about a new disease spreading over the livestock, which is making the beasts' fur fall out and seem weak and weary. The caretakers warn us that this malady will soon spread and, left unchecked, could get out of hand. A merchant in a nearby village, no doubt aware of the situation, is selling the cure for an exorbitant price.	Camel Disease	rom_event_document.png	dk_camel_gathering.png	true
dk_construction_delayed	true	Construction within our sacred city has ground to a halt. It appears that both the materials and workforce are insufficient for the task at hand. We can allocate one but not the other, because they will be needed on other projects. What should we do?	Construction Delayed	rom_event_document.png	dk_nabatea_stonework.png	true
dk_dig	true	Workers constructing the canal you ordered have dug up a portion of a building which collapsed long ago. It appears to be a part of a bigger complex that may very well contain ancient treasures! Should we divert men from the construction, potentially slowing down the expansion of the settlement, to excavate the rest of the site?	The Dig	rom_event_document.png	dk_saba_canals.png	true
dk_dyes	true	Construction in this province is going really well, but the interior painters have complained that they are running low on materials to complete the work. At the time of writing, our supplier has yet to deliver a new batch. How should we proceed?	Out of Dyes	rom_event_document.png	dk_nabatea_stonework.png	true
dk_fish_catch	true	The waters have produced an abundance of fish! Surely this is evidence of divine intervention? The local population rejoice at this gift from the gods.	Abundant Fish	rom_event_document.png	dk_great_river.png	true
