campaign_subject_key	dilemma_key	weighting
rom_subject_hellenic_religious_3_Chalcon	rom_subject_hellenic_religious_3_Chalcon	5.0000
rom_subject_hellenic_religious_4_Delphoi	rom_subject_hellenic_religious_4_Delphoi	5.0000
rom_subject_hellenic_religious_5_Epidaurus	rom_subject_hellenic_religious_5_Epidaurus	5.0000
rom_subject_hellenic_religious_6_hedonistic	rom_subject_hellenic_religious_6_hedonistic	5.0000
rom_subject_hellenic_religious_7_Bura	rom_subject_hellenic_religious_7_Bura	5.0000
rom_subject_hellenic_slaves_1_secrets	rom_subject_hellenic_slaves_1_secrets	5.0000
rom_subject_hellenic_slaves_2_Thracian	rom_subject_hellenic_slaves_2_Thracian	5.0000
rom_subject_hellenic_slaves_3_slavedriver	rom_subject_hellenic_slaves_3_slavedriver	5.0000
rom_subject_hellenic_trade_1_Silk	rom_subject_hellenic_trade_1_Silk	5.0000
rom_subject_hellenic_trade_2_Spices	rom_subject_hellenic_trade_2_Spices	5.0000
rom_subject_hellenic_trade_3_Nisean	rom_subject_hellenic_trade_3_Nisean	5.0000
rom_subject_roman_creature_dolphin	rom_subject_roman_creature_dolphin	5.0000
rom_subject_roman_creature_white_faun_1	rom_subject_roman_creature_white_faun_1	5.0000
rom_subject_roman_cult_1	rom_subject_roman_cult_1	5.0000
rom_subject_roman_family_member_1_blessed	rom_subject_roman_family_member_1_blessed	5.0000
rom_subject_roman_family_member_2_harlot	rom_subject_roman_family_member_2_harlot	5.0000
rom_subject_roman_family_member_3_long_lost	rom_subject_roman_family_member_3_long_lost	5.0000
rom_subject_roman_family_member_vicious_wife_1	rom_subject_roman_family_member_4_Vicious_words	5.0000
rom_subject_roman_family_member_5_Child_mars	rom_subject_roman_family_member_5_Child_mars	5.0000
rom_subject_roman_family_member_6_surgeon	rom_subject_roman_family_member_6_pirates	5.0000
rom_subject_roman_family_member_vicious_wife_1	rom_subject_roman_family_member_6_surgeon	5.0000
rom_subject_roman_general_cloaka_maxima	rom_subject_roman_general_cloaka_maxima	5.0000
rom_subject_roman_guardian_1	rom_subject_roman_guardian_1	5.0000
rom_subject_roman_legate_1_Poisoner	rom_subject_roman_legate_1_Poisoner	5.0000
rom_subject_roman_legate_2_Horned	rom_subject_roman_legate_2_Horned	5.0000
rom_subject_roman_legate_3_Lack_slaves	rom_subject_roman_legate_3_Lack_slaves	5.0000
rom_subject_roman_legate_4_Plenty_slaves	rom_subject_roman_legate_4_Plenty_slaves	5.0000
rom_subject_roman_profession_1_Stranger	rom_subject_roman_profession_1_Stranger	5.0000
rom_subject_roman_profession_2_Lanista	rom_subject_roman_profession_2_Lanista	5.0000
rom_subject_roman_profession_3_Gladiator	rom_subject_roman_profession_3_Gladiator	5.0000
rom_subject_roman_profession_4_Charioteer	rom_subject_roman_profession_4_Charioteer	5.0000
rom_subject_roman_profession_5_Captain	rom_subject_roman_profession_5_Captain	5.0000
rom_subject_roman_religious_1_haruspay	rom_subject_roman_religious_1_haruspay	5.0000
rom_subject_roman_religious_2_chickens	rom_subject_roman_religious_2_chickens	5.0000
rom_subject_roman_religious_3_augres	rom_subject_roman_religious_3_augres	5.0000
rom_subject_roman_religious_4_vestal	rom_subject_roman_religious_4_vestal	5.0000
rom_subject_roman_trade_aventine_gang	rom_subject_roman_trade_aventine_gang_1	5.0000
rom_subject_roman_wrecking	rom_subject_roman_wrecking	5.0000
rom_temple_sacrilege	rom_temple_sacrilege	5.0000
rom_young_challenger	rom_young_challenger	5.0000
